member,dois,has_funder_name,has_funder_fundref,has_funder_asserted_publisher,has_funder_asserted_crossref,pc_has_funder_name,pc_has_funder_fundref,pc_has_funder_asserted_publisher,pc_has_funder_asserted_crossref
425,3979,524,281,0,281,13.2,7.1,0.0,7.1
735,3914,0,0,0,0,0.0,0.0,0.0,0.0
2580,3907,0,0,0,0,0.0,0.0,0.0,0.0
9563,3863,0,0,0,0,0.0,0.0,0.0,0.0
8913,3862,0,0,0,0,0.0,0.0,0.0,0.0
351,3855,3040,2982,2930,211,78.9,77.4,76.0,5.5
3595,3847,28,9,3,6,0.7,0.2,0.1,0.2
17954,3837,0,0,0,0,0.0,0.0,0.0,0.0
20123,3805,0,0,0,0,0.0,0.0,0.0,0.0
7088,3767,0,0,0,0,0.0,0.0,0.0,0.0
5716,3758,369,86,0,86,9.8,2.3,0.0,2.3
109,3741,0,0,0,0,0.0,0.0,0.0,0.0
1696,3736,0,0,0,0,0.0,0.0,0.0,0.0
5966,3736,0,0,0,0,0.0,0.0,0.0,0.0
7038,3725,0,0,0,0,0.0,0.0,0.0,0.0
1931,3685,0,0,0,0,0.0,0.0,0.0,0.0
3819,3671,0,0,0,0,0.0,0.0,0.0,0.0
11985,3651,0,0,0,0,0.0,0.0,0.0,0.0
345,3601,2085,1660,0,1660,57.9,46.1,0.0,46.1
1757,3597,0,0,0,0,0.0,0.0,0.0,0.0
10124,3594,0,0,0,0,0.0,0.0,0.0,0.0
11853,3593,0,0,0,0,0.0,0.0,0.0,0.0
4027,3575,0,0,0,0,0.0,0.0,0.0,0.0
5808,3570,0,0,0,0,0.0,0.0,0.0,0.0
189,3542,1062,1060,1057,10,30.0,29.9,29.8,0.3
24785,3540,0,0,0,0,0.0,0.0,0.0,0.0
9984,3516,0,0,0,0,0.0,0.0,0.0,0.0
2549,3504,1,1,1,0,0.0,0.0,0.0,0.0
288,3477,0,0,0,0,0.0,0.0,0.0,0.0
18178,3460,0,0,0,0,0.0,0.0,0.0,0.0
5515,3451,0,0,0,0,0.0,0.0,0.0,0.0
9411,3437,0,0,0,0,0.0,0.0,0.0,0.0
7604,3419,54,52,50,2,1.6,1.5,1.5,0.1
14742,3397,0,0,0,0,0.0,0.0,0.0,0.0
1754,3391,0,0,0,0,0.0,0.0,0.0,0.0
11088,3342,0,0,0,0,0.0,0.0,0.0,0.0
294,3341,0,0,0,0,0.0,0.0,0.0,0.0
10105,3340,0,0,0,0,0.0,0.0,0.0,0.0
22,3320,0,0,0,0,0.0,0.0,0.0,0.0
8629,3319,0,0,0,0,0.0,0.0,0.0,0.0
19,3274,119,91,78,25,3.6,2.8,2.4,0.8
5855,3271,0,0,0,0,0.0,0.0,0.0,0.0
23730,3256,0,0,0,0,0.0,0.0,0.0,0.0
532,3223,0,0,0,0,0.0,0.0,0.0,0.0
9346,3209,0,0,0,0,0.0,0.0,0.0,0.0
2473,3208,0,0,0,0,0.0,0.0,0.0,0.0
613,3162,0,0,0,0,0.0,0.0,0.0,0.0
5576,3160,0,0,0,0,0.0,0.0,0.0,0.0
9237,3154,0,0,0,0,0.0,0.0,0.0,0.0
9749,3152,0,0,0,0,0.0,0.0,0.0,0.0
9514,3134,0,0,0,0,0.0,0.0,0.0,0.0
2924,3132,0,0,0,0,0.0,0.0,0.0,0.0
4419,3131,0,0,0,0,0.0,0.0,0.0,0.0
5280,3131,0,0,0,0,0.0,0.0,0.0,0.0
1387,3121,2091,1718,1542,286,67.0,55.0,49.4,9.2
2308,3093,0,0,0,0,0.0,0.0,0.0,0.0
4947,3078,0,0,0,0,0.0,0.0,0.0,0.0
252,3057,0,0,0,0,0.0,0.0,0.0,0.0
29389,3042,0,0,0,0,0.0,0.0,0.0,0.0
4247,3040,0,0,0,0,0.0,0.0,0.0,0.0
9421,2990,0,0,0,0,0.0,0.0,0.0,0.0
3285,2990,16,14,14,0,0.5,0.5,0.5,0.0
23906,2948,0,0,0,0,0.0,0.0,0.0,0.0
9690,2917,0,0,0,0,0.0,0.0,0.0,0.0
14667,2901,0,0,0,0,0.0,0.0,0.0,0.0
422,2898,0,0,0,0,0.0,0.0,0.0,0.0
3785,2889,0,0,0,0,0.0,0.0,0.0,0.0
6146,2889,9,9,9,0,0.3,0.3,0.3,0.0
12033,2884,0,0,0,0,0.0,0.0,0.0,0.0
10985,2884,0,0,0,0,0.0,0.0,0.0,0.0
12302,2856,0,0,0,0,0.0,0.0,0.0,0.0
7928,2855,0,0,0,0,0.0,0.0,0.0,0.0
9336,2840,0,0,0,0,0.0,0.0,0.0,0.0
150,2839,522,479,473,21,18.4,16.9,16.7,0.7
19162,2825,0,0,0,0,0.0,0.0,0.0,0.0
4964,2814,0,0,0,0,0.0,0.0,0.0,0.0
14,2813,1041,1041,1041,0,37.0,37.0,37.0,0.0
18588,2807,0,0,0,0,0.0,0.0,0.0,0.0
18186,2806,0,0,0,0,0.0,0.0,0.0,0.0
10051,2794,50,50,50,0,1.8,1.8,1.8,0.0
11723,2781,0,0,0,0,0.0,0.0,0.0,0.0
1038,2750,0,0,0,0,0.0,0.0,0.0,0.0
230,2737,13,13,13,0,0.5,0.5,0.5,0.0
4601,2729,0,0,0,0,0.0,0.0,0.0,0.0
11192,2715,0,0,0,0,0.0,0.0,0.0,0.0
5967,2710,0,0,0,0,0.0,0.0,0.0,0.0
10308,2709,0,0,0,0,0.0,0.0,0.0,0.0
10540,2707,0,0,0,0,0.0,0.0,0.0,0.0
81,2704,1121,986,956,79,41.5,36.5,35.4,2.9
7618,2704,727,152,0,152,26.9,5.6,0.0,5.6
6689,2696,76,52,47,5,2.8,1.9,1.7,0.2
8004,2696,0,0,0,0,0.0,0.0,0.0,0.0
5106,2694,0,0,0,0,0.0,0.0,0.0,0.0
11875,2692,0,0,0,0,0.0,0.0,0.0,0.0
23331,2690,0,0,0,0,0.0,0.0,0.0,0.0
18045,2653,0,0,0,0,0.0,0.0,0.0,0.0
4870,2627,0,0,0,0,0.0,0.0,0.0,0.0
3460,2626,0,0,0,0,0.0,0.0,0.0,0.0
3478,2615,0,0,0,0,0.0,0.0,0.0,0.0
7005,2610,0,0,0,0,0.0,0.0,0.0,0.0
232,2604,1962,1612,1221,775,75.3,61.9,46.9,29.8
393,2578,0,0,0,0,0.0,0.0,0.0,0.0
6474,2561,0,0,0,0,0.0,0.0,0.0,0.0
10562,2556,0,0,0,0,0.0,0.0,0.0,0.0
9677,2538,0,0,0,0,0.0,0.0,0.0,0.0
7803,2527,0,0,0,0,0.0,0.0,0.0,0.0
10875,2504,0,0,0,0,0.0,0.0,0.0,0.0
17540,2504,0,0,0,0,0.0,0.0,0.0,0.0
3673,2495,0,0,0,0,0.0,0.0,0.0,0.0
2026,2483,347,268,238,47,14.0,10.8,9.6,1.9
1747,2466,516,516,516,0,20.9,20.9,20.9,0.0
6139,2456,0,0,0,0,0.0,0.0,0.0,0.0
6863,2446,0,0,0,0,0.0,0.0,0.0,0.0
16935,2443,0,0,0,0,0.0,0.0,0.0,0.0
10279,2428,0,0,0,0,0.0,0.0,0.0,0.0
9403,2416,0,0,0,0,0.0,0.0,0.0,0.0
32018,2415,0,0,0,0,0.0,0.0,0.0,0.0
4034,2408,0,0,0,0,0.0,0.0,0.0,0.0
8312,2408,2,2,2,0,0.1,0.1,0.1,0.0
9635,2399,0,0,0,0,0.0,0.0,0.0,0.0
1577,2383,501,442,394,60,21.0,18.5,16.5,2.5
5673,2375,0,0,0,0,0.0,0.0,0.0,0.0
11872,2367,0,0,0,0,0.0,0.0,0.0,0.0
108,2353,0,0,0,0,0.0,0.0,0.0,0.0
5959,2338,0,0,0,0,0.0,0.0,0.0,0.0
29705,2329,0,0,0,0,0.0,0.0,0.0,0.0
2248,2308,101,101,101,0,4.4,4.4,4.4,0.0
962,2304,0,0,0,0,0.0,0.0,0.0,0.0
11256,2299,0,0,0,0,0.0,0.0,0.0,0.0
3555,2299,0,0,0,0,0.0,0.0,0.0,0.0
5406,2296,0,0,0,0,0.0,0.0,0.0,0.0
2098,2294,0,0,0,0,0.0,0.0,0.0,0.0
1260,2294,0,0,0,0,0.0,0.0,0.0,0.0
,2288,28,26,25,3,1.2,1.1,1.1,0.1
27828,2275,0,0,0,0,0.0,0.0,0.0,0.0
16089,2272,11,4,0,4,0.5,0.2,0.0,0.2
3394,2269,0,0,0,0,0.0,0.0,0.0,0.0
8620,2246,0,0,0,0,0.0,0.0,0.0,0.0
4211,2240,1,1,1,0,0.0,0.0,0.0,0.0
8012,2237,0,0,0,0,0.0,0.0,0.0,0.0
31137,2228,0,0,0,0,0.0,0.0,0.0,0.0
6251,2226,0,0,0,0,0.0,0.0,0.0,0.0
22291,2223,0,0,0,0,0.0,0.0,0.0,0.0
162,2218,0,0,0,0,0.0,0.0,0.0,0.0
32237,2213,7,7,7,0,0.3,0.3,0.3,0.0
2373,2206,457,457,457,0,20.7,20.7,20.7,0.0
11657,2191,0,0,0,0,0.0,0.0,0.0,0.0
20065,2191,0,0,0,0,0.0,0.0,0.0,0.0
3908,2185,0,0,0,0,0.0,0.0,0.0,0.0
29158,2179,0,0,0,0,0.0,0.0,0.0,0.0
7463,2171,0,0,0,0,0.0,0.0,0.0,0.0
21691,2164,0,0,0,0,0.0,0.0,0.0,0.0
2371,2160,0,0,0,0,0.0,0.0,0.0,0.0
28894,2148,0,0,0,0,0.0,0.0,0.0,0.0
3176,2147,2,1,1,0,0.1,0.0,0.0,0.0
9422,2145,0,0,0,0,0.0,0.0,0.0,0.0
10296,2131,0,0,0,0,0.0,0.0,0.0,0.0
1310,2130,0,0,0,0,0.0,0.0,0.0,0.0
16242,2115,0,0,0,0,0.0,0.0,0.0,0.0
7257,2108,0,0,0,0,0.0,0.0,0.0,0.0
10045,2099,0,0,0,0,0.0,0.0,0.0,0.0
26763,2091,0,0,0,0,0.0,0.0,0.0,0.0
22662,2076,0,0,0,0,0.0,0.0,0.0,0.0
3430,2065,0,0,0,0,0.0,0.0,0.0,0.0
1748,2061,63,60,59,1,3.1,2.9,2.9,0.0
9096,2059,0,0,0,0,0.0,0.0,0.0,0.0
22926,2053,0,0,0,0,0.0,0.0,0.0,0.0
5756,2046,0,0,0,0,0.0,0.0,0.0,0.0
629,2046,0,0,0,0,0.0,0.0,0.0,0.0
736,2039,1095,972,853,218,53.7,47.7,41.8,10.7
17652,2038,0,0,0,0,0.0,0.0,0.0,0.0
4046,2035,0,0,0,0,0.0,0.0,0.0,0.0
7673,2022,0,0,0,0,0.0,0.0,0.0,0.0
10019,2005,0,0,0,0,0.0,0.0,0.0,0.0
9443,2004,17,17,17,0,0.8,0.8,0.8,0.0
8044,2004,0,0,0,0,0.0,0.0,0.0,0.0
18784,2003,0,0,0,0,0.0,0.0,0.0,0.0
23592,2003,0,0,0,0,0.0,0.0,0.0,0.0
6082,2000,0,0,0,0,0.0,0.0,0.0,0.0
16018,1980,0,0,0,0,0.0,0.0,0.0,0.0
186,1978,887,653,516,211,44.8,33.0,26.1,10.7
3242,1977,0,0,0,0,0.0,0.0,0.0,0.0
7629,1976,0,0,0,0,0.0,0.0,0.0,0.0
6218,1969,0,0,0,0,0.0,0.0,0.0,0.0
6097,1950,0,0,0,0,0.0,0.0,0.0,0.0
382,1946,0,0,0,0,0.0,0.0,0.0,0.0
9382,1943,0,0,0,0,0.0,0.0,0.0,0.0
2451,1942,1,1,1,0,0.1,0.1,0.1,0.0
9292,1939,0,0,0,0,0.0,0.0,0.0,0.0
4499,1937,0,0,0,0,0.0,0.0,0.0,0.0
3222,1933,0,0,0,0,0.0,0.0,0.0,0.0
18774,1923,0,0,0,0,0.0,0.0,0.0,0.0
27769,1922,0,0,0,0,0.0,0.0,0.0,0.0
79,1919,1446,1442,1430,12,75.4,75.1,74.5,0.6
3306,1917,0,0,0,0,0.0,0.0,0.0,0.0
9775,1909,0,0,0,0,0.0,0.0,0.0,0.0
16663,1907,0,0,0,0,0.0,0.0,0.0,0.0
16711,1894,0,0,0,0,0.0,0.0,0.0,0.0
8561,1892,0,0,0,0,0.0,0.0,0.0,0.0
19007,1891,0,0,0,0,0.0,0.0,0.0,0.0
4226,1872,0,0,0,0,0.0,0.0,0.0,0.0
9621,1867,0,0,0,0,0.0,0.0,0.0,0.0
16534,1864,0,0,0,0,0.0,0.0,0.0,0.0
6946,1862,0,0,0,0,0.0,0.0,0.0,0.0
5267,1861,0,0,0,0,0.0,0.0,0.0,0.0
5067,1861,0,0,0,0,0.0,0.0,0.0,0.0
3356,1860,0,0,0,0,0.0,0.0,0.0,0.0
18187,1859,0,0,0,0,0.0,0.0,0.0,0.0
7332,1858,0,0,0,0,0.0,0.0,0.0,0.0
3180,1852,2,2,2,0,0.1,0.1,0.1,0.0
20457,1847,0,0,0,0,0.0,0.0,0.0,0.0
5094,1842,0,0,0,0,0.0,0.0,0.0,0.0
10208,1836,0,0,0,0,0.0,0.0,0.0,0.0
10352,1835,0,0,0,0,0.0,0.0,0.0,0.0
10439,1834,0,0,0,0,0.0,0.0,0.0,0.0
246,1833,961,876,837,178,52.4,47.8,45.7,9.7
17802,1820,0,0,0,0,0.0,0.0,0.0,0.0
5023,1817,0,0,0,0,0.0,0.0,0.0,0.0
4285,1804,128,128,128,14,7.1,7.1,7.1,0.8
8112,1804,0,0,0,0,0.0,0.0,0.0,0.0
3612,1796,0,0,0,0,0.0,0.0,0.0,0.0
6075,1786,0,0,0,0,0.0,0.0,0.0,0.0
10246,1781,0,0,0,0,0.0,0.0,0.0,0.0
6205,1778,0,0,0,0,0.0,0.0,0.0,0.0
10022,1777,0,0,0,0,0.0,0.0,0.0,0.0
5394,1767,0,0,0,0,0.0,0.0,0.0,0.0
11040,1765,0,0,0,0,0.0,0.0,0.0,0.0
5386,1764,0,0,0,0,0.0,0.0,0.0,0.0
2673,1759,96,92,91,1,5.5,5.2,5.2,0.1
10706,1754,0,0,0,0,0.0,0.0,0.0,0.0
3846,1754,0,0,0,0,0.0,0.0,0.0,0.0
17339,1754,0,0,0,0,0.0,0.0,0.0,0.0
9006,1751,0,0,0,0,0.0,0.0,0.0,0.0
8603,1743,0,0,0,0,0.0,0.0,0.0,0.0
6959,1742,0,0,0,0,0.0,0.0,0.0,0.0
1683,1738,0,0,0,0,0.0,0.0,0.0,0.0
11115,1735,0,0,0,0,0.0,0.0,0.0,0.0
10026,1733,0,0,0,0,0.0,0.0,0.0,0.0
332,1731,0,0,0,0,0.0,0.0,0.0,0.0
7778,1730,1,1,1,0,0.1,0.1,0.1,0.0
11151,1726,0,0,0,0,0.0,0.0,0.0,0.0
5236,1725,0,0,0,0,0.0,0.0,0.0,0.0
28583,1723,0,0,0,0,0.0,0.0,0.0,0.0
6171,1721,0,0,0,0,0.0,0.0,0.0,0.0
26325,1716,0,0,0,0,0.0,0.0,0.0,0.0
18762,1716,0,0,0,0,0.0,0.0,0.0,0.0
2165,1715,0,0,0,0,0.0,0.0,0.0,0.0
9483,1712,0,0,0,0,0.0,0.0,0.0,0.0
11796,1706,0,0,0,0,0.0,0.0,0.0,0.0
16013,1701,0,0,0,0,0.0,0.0,0.0,0.0
9700,1698,0,0,0,0,0.0,0.0,0.0,0.0
6098,1697,0,0,0,0,0.0,0.0,0.0,0.0
2795,1696,0,0,0,0,0.0,0.0,0.0,0.0
11232,1695,0,0,0,0,0.0,0.0,0.0,0.0
6872,1694,0,0,0,0,0.0,0.0,0.0,0.0
7597,1691,0,0,0,0,0.0,0.0,0.0,0.0
1822,1682,0,0,0,0,0.0,0.0,0.0,0.0
4629,1679,0,0,0,0,0.0,0.0,0.0,0.0
1560,1679,0,0,0,0,0.0,0.0,0.0,0.0
8421,1665,0,0,0,0,0.0,0.0,0.0,0.0
28869,1663,44,44,44,0,2.6,2.6,2.6,0.0
21051,1663,0,0,0,0,0.0,0.0,0.0,0.0
4871,1663,0,0,0,0,0.0,0.0,0.0,0.0
21432,1659,0,0,0,0,0.0,0.0,0.0,0.0
18929,1648,0,0,0,0,0.0,0.0,0.0,0.0
23555,1648,0,0,0,0,0.0,0.0,0.0,0.0
2731,1646,930,878,856,63,56.5,53.3,52.0,3.8
18859,1644,0,0,0,0,0.0,0.0,0.0,0.0
3355,1639,0,0,0,0,0.0,0.0,0.0,0.0
7508,1635,0,0,0,0,0.0,0.0,0.0,0.0
18493,1633,0,0,0,0,0.0,0.0,0.0,0.0
3374,1629,0,0,0,0,0.0,0.0,0.0,0.0
18179,1628,0,0,0,0,0.0,0.0,0.0,0.0
3162,1628,0,0,0,0,0.0,0.0,0.0,0.0
16256,1624,0,0,0,0,0.0,0.0,0.0,0.0
26949,1622,0,0,0,0,0.0,0.0,0.0,0.0
17357,1619,0,0,0,0,0.0,0.0,0.0,0.0
29418,1617,0,0,0,0,0.0,0.0,0.0,0.0
17854,1612,0,0,0,0,0.0,0.0,0.0,0.0
17000,1594,0,0,0,0,0.0,0.0,0.0,0.0
7654,1590,0,0,0,0,0.0,0.0,0.0,0.0
9772,1587,0,0,0,0,0.0,0.0,0.0,0.0
2479,1586,0,0,0,0,0.0,0.0,0.0,0.0
12278,1577,0,0,0,0,0.0,0.0,0.0,0.0
1913,1574,0,0,0,0,0.0,0.0,0.0,0.0
27478,1574,0,0,0,0,0.0,0.0,0.0,0.0
10411,1573,0,0,0,0,0.0,0.0,0.0,0.0
8462,1573,12,12,12,0,0.8,0.8,0.8,0.0
11209,1563,0,0,0,0,0.0,0.0,0.0,0.0
11399,1555,0,0,0,0,0.0,0.0,0.0,0.0
29690,1550,0,0,0,0,0.0,0.0,0.0,0.0
4745,1549,0,0,0,0,0.0,0.0,0.0,0.0
861,1546,0,0,0,0,0.0,0.0,0.0,0.0
10951,1543,0,0,0,0,0.0,0.0,0.0,0.0
5330,1538,0,0,0,0,0.0,0.0,0.0,0.0
45,1537,0,0,0,0,0.0,0.0,0.0,0.0
7012,1537,0,0,0,0,0.0,0.0,0.0,0.0
2869,1533,0,0,0,0,0.0,0.0,0.0,0.0
17979,1530,0,0,0,0,0.0,0.0,0.0,0.0
